ALARM_ID,VEHICLE_ID,PLATE_COLOR_ID,ALARMID
1.51205E+21,10292200,2,1512053973000102922002_10292200_2
1.51205E+21,10292200,2,1512054003000102922002_10292200_2
1.51205E+21,10292200,2,1512054033000102922002_10292200_2
1.51205E+21,10292200,2,1512054063000102922002_10292200_2
1.51205E+21,10292200,2,1512054093000102922002_10292200_2
1.51205E+21,10292200,2,1512054123000102922002_10292200_2
1.51205E+21,10292200,2,1512054156000102922002_10292200_2
1.51205E+21,10292200,2,1512054162000102922002_10292200_2
1.51205E+21,10292200,2,1512054192000102922002_10292200_2
1.51205E+21,10292200,2,1512054222000102922002_10292200_2
1.51205E+21,10292200,2,1512054252000102922002_10292200_2
1.51205E+21,10292200,2,1512054270000102922002_10292200_2
1.51205E+21,10292200,2,1512054300000102922002_10292200_2
1.51205E+21,10292200,2,1512054321000102922002_10292200_2
1.51205E+21,10292200,2,1512054340000102922002_10292200_2
1.51205E+21,10292200,2,1512054370000102922002_10292200_2
1.51205E+21,10292200,2,1512054400000102922002_10292200_2
1.51205E+21,10292200,2,1512054430000102922002_10292200_2
1.51205E+21,10292200,2,1512054444000102922002_10292200_2
1.51205E+21,10292200,2,1512054459000102922002_10292200_2
1.51205E+21,10292200,2,1512054469000102922002_10292200_2
1.51205E+21,10292200,2,1512054499000102922002_10292200_2
1.51205E+21,10292200,2,1512054529000102922002_10292200_2
1.51205E+21,10292200,2,1512054559000102922002_10292200_2
1.51205E+21,10292200,2,1512054589000102922002_10292200_2
1.51205E+21,10292200,2,1512054619000102922002_10292200_2
1.51205E+21,10292200,2,1512054649000102922002_10292200_2
1.51205E+21,10292200,2,1512054679000102922002_10292200_2
1.51205E+21,10292200,2,1512054709000102922002_10292200_2
1.51205E+21,10292200,2,1512054739000102922002_10292200_2
1.51205E+21,10292200,2,1512054769000102922002_10292200_2
1.51205E+21,10292200,2,1512054799000102922002_10292200_2
1.51205E+21,10292200,2,1512054829000102922002_10292200_2
1.51205E+21,10292200,2,1512054859000102922002_10292200_2
1.51205E+21,10292200,2,1512054889000102922002_10292200_2
1.51205E+21,10292200,2,1512054919000102922002_10292200_2
1.51205E+21,10292200,2,1512054949000102922002_10292200_2
1.51205E+21,10292200,2,1512054979000102922002_10292200_2
1.51206E+21,10292200,2,1512055009000102922002_10292200_2
1.51206E+21,10292200,2,1512055039000102922002_10292200_2
1.51206E+21,10292200,2,1512055069000102922002_10292200_2
1.51206E+21,10292200,2,1512055090000102922002_10292200_2
1.51206E+21,10292200,2,1512055120000102922002_10292200_2
1.51206E+21,10292200,2,1512055150000102922002_10292200_2
1.51211E+21,10291763,2,1512114123000102917632_10291763_2
1.51207E+21,10292160,2,1512071904000102921602_10292160_2
1.51207E+21,10292160,2,1512071934000102921602_10292160_2
1.51207E+21,10292160,2,1512071826000102921602_10292160_2
1.51207E+21,10292160,2,1512071964000102921602_10292160_2
1.51207E+21,10292160,2,1512071856000102921602_10292160_2
1.51207E+21,10292160,2,1512071874000102921602_10292160_2
1.51207E+21,10292121,2,1512072847000102921212_10292121_2
1.51207E+21,10292121,2,1512072878000102921212_10292121_2
1.51207E+21,10292121,2,1512072328000102921212_10292121_2
1.51207E+21,10292160,2,1512072836000102921602_10292160_2
1.51207E+21,10292160,2,1512072324000102921602_10292160_2
1.51207E+21,10292160,2,1512072866000102921602_10292160_2
1.51207E+21,10292121,2,1512072889000102921212_10292121_2
1.51207E+21,10292121,2,1512072388000102921212_10292121_2
1.51207E+21,10292160,2,1512072384000102921602_10292160_2
1.51207E+21,10292121,2,1512072868000102921212_10292121_2
1.51207E+21,10292121,2,1512072358000102921212_10292121_2
1.51207E+21,10292160,2,1512072354000102921602_10292160_2
1.51207E+21,10292121,2,1512072901000102921212_10292121_2
1.51207E+21,10292121,2,1512072934000102921212_10292121_2
1.51207E+21,10292160,2,1512072414000102921602_10292160_2
1.51207E+21,10292121,2,1512072418000102921212_10292121_2
1.51207E+21,10292121,2,1512072945000102921212_10292121_2
1.51207E+21,10292121,2,1512072481000102921212_10292121_2
1.51207E+21,10292160,2,1512072896000102921602_10292160_2
1.51207E+21,10292121,2,1512072448000102921212_10292121_2
1.51207E+21,10292160,2,1512072444000102921602_10292160_2
1.51207E+21,10292121,2,1512072940000102921212_10292121_2
1.51207E+21,10292160,2,1512072926000102921602_10292160_2
1.51207E+21,10292160,2,1512072933000102921602_10292160_2
1.51207E+21,10292121,2,1512072491000102921212_10292121_2
1.51207E+21,10292160,2,1512072144000102921602_10292160_2
1.51207E+21,10292160,2,1512072474000102921602_10292160_2
1.51207E+21,10292121,2,1512072524000102921212_10292121_2
1.51207E+21,10292160,2,1512072504000102921602_10292160_2
1.51207E+21,10292121,2,1512072533000102921212_10292121_2
1.51207E+21,10292160,2,1512072114000102921602_10292160_2
1.51207E+21,10292121,2,1512072181000102921212_10292121_2
1.51207E+21,10292160,2,1512072564000102921602_10292160_2
1.51207E+21,10292160,2,1512072204000102921602_10292160_2
1.51207E+21,10292121,2,1512072298000102921212_10292121_2
1.51207E+21,10292160,2,1512072534000102921602_10292160_2
1.51207E+21,10292160,2,1512071994000102921602_10292160_2
